Serial No,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
8117,356195,Kurla,Mumbai,Cake Point,100,2.9,80,"Bakery,Desserts,Indian,Combo,Sweets",Kurla West,44
8118,356218,Kurla,Mumbai,Cake Junction,100,2.9,80,"Bakery,Indian,Desserts,Combo,Sweets",Kurla West,44
8119,356626,Rohini,Delhi,Chaap Kingdom,300,4.2,20,Indian,Rohini,40
8120,356688,Himayatnagar,Hyderabad,Baskin Robbins,300,4.5,100,"Desserts,Ice Cream",Wajihuddin,27
8121,357948,Pitam Pura,Delhi,The Pizza Club,100,2.9,80,"Street Food,Chinese,Pizzas,Beverages",Nsp,55
8122,359046,Armane Nagar,Bangalore,Kailash Parbat,300,4.2,500,"Fast Food,North Indian,Street Food",Sadashivnagar,53
8123,359299,Erandwane,Pune,Miana'S Croissanterie,200,4.5,50,Snacks,Law College Road,40
8124,359582,Sanjay Nagar,Surat,Hotel Shyam Darshan,200,2.9,80,"North Indian,Gujarati,Punjabi,Jain",Parvat Patiya,51
8125,359804,Nanpura,Surat,Grameen Kulfi,120,4.6,100,"Ice Cream,Desserts",Athwa Gate Cirlce,28
8126,361739,Kankurgachi,Kolkata,Cafe 324,250,4.3,100,Snacks  Desserts  Beverages,Kankurgachi,41
8127,361957,Parvat Patiya,Surat,Dalbati,150,3.9,100,"Rajasthani,Indian",Punakumbharia Rd Parvat Patiya,39
8128,362084,Punjagutta,Hyderabad,Absolute Froot,150,2.9,80,Beverages,Somajiguda & Khairtabad,61
8129,363425,George Town,Chennai,Hotel Natarajah,270,4.4,20,"South Indian,Chinese,North Indian",George Town,52
8130,363665,Naranpura,Ahmedabad,Prajapati Live Handvo And  Maggi,200,2.9,80,"Chinese,Fast Food,Pastas",Naranpura,50
8131,363962,Pitam Pura,Delhi,Purple Forest.,300,2.9,80,"Bakery,Desserts",Nsp,61
8132,365058,Ballygunge,Kolkata,Ramanee,400,4.5,100,South Indian,South Kolkata,65
8133,365814,Baguiati,Kolkata,Sri Jagannath - Special Khaja,200,4.6,100,"Sweets,Indian",Baguiati,78
8134,365894,Himayatnagar,Hyderabad,Frozen Bottle,250,3.8,100,"Beverages,Ice Cream,Desserts",Rk Saboo Plaza,32
8135,366167,Deccan Gymkhana,Pune,Haldiram,300,4.3,500,"Indian,Biryani,Fast Food,Snacks,Beverages,Sweets",Shivaji Nagar,45
8136,366790,Jam Bagh,Hyderabad,Subbu Mirchi Point,100,4.1,100,"Street Food,Indian,Snacks",Kachiguda,29
8137,366833,Raja Annamalai Puram,Chennai,Delisix,250,3.9,50,"North Indian,Fast Food,Chaat",Mylapore,68
8138,366890,Koramangala,Bangalore,Hokart - Special Hot Momos,150,4.3,50,"Fast Food,Street Food,Snacks,Chinese",Koramangala,47
8139,366997,Dilsukhnagar,Hyderabad,Madhu Ruchi Pure Veg Restaurant,400,3.7,50,Chinese  Indian,Kothapet & Dilsukhnagar,45
8140,367606,Golpark,Kolkata,Mishti Ghor,200,4.2,500,"Sweets,Combo,Desserts,Bengali,Bakery,Beverages",South Kolkata,74
8141,367659,Rohini,Delhi,The Brooklyn Creamery - Healthy Ice Cream,200,4.2,20,"Desserts,Ice Cream,Healthy Food",Rohini Rk,36
8142,368340,Nava Vadaj,Ahmedabad,Patel Tiffin Service,200,4.1,100,"Street Food,Indian",Naranpura,53
8143,368384,Chetpet,Chennai,Mayur Annalakshmi Sweets Savouries Spices,200,4.5,100,"South Indian,North Indian,Beverages",Chetpet,35
8144,368709,South Kolkata,Kolkata,Gourmet Ice Cream Cakes By Baskin Robbins,200,4.3,20,Desserts  Ice Cream  Bakery,Purna Das Road,58
8145,369130,Tagore Garden Extension,Delhi,Keshav Bakery,500,2.9,80,Bakery,Rajouri Garden,69
8146,369380,Central Bangalore,Bangalore,Gourmet Ice Cream Cakes By Baskin Robbins,400,2.9,80,"Desserts,Ice Cream,Bakery",Triumph Towers,33
8147,369381,Himayath Nagar,Hyderabad,Gourmet Ice Cream Cakes By Baskin Robbins,300,2.9,80,"Desserts,Ice Cream,Bakery",Himayath Nagar Main Road,32
8148,369475,Rohini,Delhi,Baskin Robbins,250,3.8,20,"Desserts,Ice Cream",Rohini Rk,38
8149,369558,Kankurgachi,Kolkata,Gourmet Ice Cream Cakes By Baskin Robbins,400,2.9,80,"Desserts,Ice Cream,Bakery",Beliaghata,40
8150,370701,Kurla,Mumbai,Birthday Party Cake Shop,500,2.9,80,"Bakery,Desserts",Kurla,38
8151,370908,Nsp,Delhi,Gourmet Ice Cream Cakes By Baskin Robbins,300,2.9,80,"Desserts,Ice Cream,Bakery",Rani Bagh Pitampura,58
8152,371659,T. Nagar,Chennai,Dosai With A Twist,250,2.9,80,Indian,T Nagar,72
8153,371769,Shivajinagar,Pune,Keventers Ice Creamery,300,2.9,80,"Ice Cream,Desserts",Pavilion Mall Pune,48
8154,371781,Rohini,Delhi,Keventers Ice Creamery,300,4.6,20,"Ice Cream,Desserts",Unity One Rohini Delhi,33
8155,371878,Rohini,Delhi,Haunted Kitchen,150,2.9,80,"Indian,Pizzas,Biryani,Beverages",Rohini,36
8156,371924,New Alipore,Kolkata,Banana Leaf @ Komala Vilas,500,4.4,100,"South Indian,Beverages",Alipore,86
8157,371935,Anna Nagar,Chennai,Mishra Pan Shop,300,4.6,50,Paan,Annanagar,64
8158,371987,Chembur,Mumbai,Tiger Tiger,400,2.9,80,Indian  Chinese  Italian,Kurla,48
8159,372444,Gulbai Tekra,Ahmedabad,New Girish Coldrinks,200,4.1,50,"Juices,Beverages,Desserts",Paldi & Ambawadi,27
8160,372600,Ghatkopar,Mumbai,Cremeborne,300,4,50,Ice Cream  Beverages,Ghatkopar Vikhroli,44
8161,373794,Basavanagudi,Bangalore,Bangarapet Bhel House,110,2.9,80,"Indian,Snacks,Beverages",Basavanagudi,54
8162,374574,Ghatkopar East,Mumbai,Seven Spices Fast Food,100,4.2,20,"Snacks,Fast Food,Indian,Chinese,Jain",Ghatkopar Vikhroli,48
8163,375499,Patel Nagar,Surat,Svagruh Bhojan,250,2.9,80,"Fast Food,North Indian",Varachha,60
8164,375811,Nava Vadaj,Ahmedabad,Shreeji Sandwich Center,200,2.9,80,"Street Food,Indian,Fast Food",Naranpura,50
8165,376271,Jayanagar,Bangalore,Nammur Joint,200,2.9,80,"Fast Food,Snacks,Beverages,Ice Cream",Jayanagar,50
8166,376372,Navrangpura,Ahmedabad,Apnaa Addaa,200,2.9,80,"Snacks,Beverages",Navrangpura,45
8167,376495,Kestopur,Kolkata,Punjabi By Taste,350,3.2,20,"North Indian,Street Food,Chaat,South Indian,Thalis,Desserts,Beverages,Snacks,Ice Cream,Chinese,Italian",Salt Lake,80
8168,376584,Usmanpura,Ahmedabad,Mukesh Nagar Cholafali Center,120,2.9,80,"Street Food,Snacks",Prahlad Nagar,37
8169,377061,Central Kolkata,Kolkata,Keventers Ice Cream,300,4.6,100,"Ice Cream,Desserts",Sarat Bose Road,64
8170,377381,Ghatkopar Vikhroli,Mumbai,Anhad Misal,200,3.8,100,"Street Food,Maharashtrian",Ghatkopar Vikhroli,47
8171,377656,Piplod,Surat,Jalaram Chinese,150,2.9,80,"Chinese,Fast Food",Piplod,46
8172,377729,Athwa,Surat,Shree Chamunda Rajasthani Dalbati,250,2.9,80,"Indian,Chinese,Snacks",Athwa,45
8173,377930,Uppal,Hyderabad,Baskin Robbins,250,4,20,Desserts  Ice Cream,Nacharam,61
